index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
593,1765225999912,0,2,1,3.28,0,0,0,0
594,1765226001664,0,2,1,3.28,0,0,0,0
595,1765226003446,0,2,1,3.28,0,0,0,0
596,1765226004979,0,2,1,3.28,0,0,0,0
597,1765226008429,0,2,1,3.28,0,0,0,0
598,1765226015518,0,2,1,3.28,0,0,0,0
599,1765226017334,0,2,1,3.28,0,0,0,0
600,1765226017502,0,2,1,3.28,0,0,0,0
601,1765226019595,0,2,1,3.28,0,0,0,0
602,1765226021117,0,2,1,3.28,0,0,0,0
603,1765226027979,0,4,3,3.23,0,0,0,0
604,1765226031244,0,2,3,2.17,0,0,0,0
605,1765226032796,2,1,3,3.24,0,0,0,0
606,1765226032830,2,1,3,3.24,0,0,0,0
607,1765226032996,2,1,3,3.24,0,0,0,0
608,1765226034632,2,1,3,3.25,0,0,0,0
609,1765226034795,2,1,3,3.25,0,0,0,0
610,1765226036330,2,1,3,3.26,0,0,0,0
611,1765226038078,2,1,4,3.26,0,0,0,0
612,1765226038096,2,1,4,3.26,0,0,0,0
613,1765226039628,2,1,4,3.26,0,0,0,0
614,1765226039828,2,1,4,3.26,0,0,0,0
615,1765226041380,2,1,4,3.27,0,0,0,0
616,1765226041412,2,1,4,3.27,0,0,0,0
617,1765226043126,2,1,4,3.27,0,0,0,0
618,1765226043160,2,1,4,3.27,0,0,0,0
619,1765226044944,2,1,4,3.27,0,0,0,0
620,1765226046744,2,1,4,3.27,0,0,0,0
621,1765226046796,2,1,4,3.27,0,0,0,0
622,1765226048595,2,1,4,3.27,0,0,0,0
623,1765226050228,2,1,4,3.27,0,0,0,0
624,1765226050478,2,1,4,3.27,0,0,0,0
625,1765226052280,2,1,4,3.27,0,0,0,0
626,1765226054096,2,1,4,3.27,0,0,0,0
627,1765226055679,2,1,4,3.27,0,0,0,0
628,1765226055843,2,1,4,3.27,0,0,0,0
629,1765226057343,2,1,4,3.27,0,0,0,0
630,1765226057393,2,1,4,3.27,0,0,0,0
631,1765226059177,2,1,4,3.27,0,0,0,0
632,1765226060678,2,1,4,3.27,0,0,0,0
633,1765226060827,2,1,4,3.27,0,0,0,0
634,1765226060861,2,1,4,3.27,0,0,0,0
635,1765226062699,2,1,4,3.27,0,0,0,0
636,1765226062699,2,1,4,3.27,0,0,0,0
637,1765226062702,2,1,4,3.27,0,0,0,0
638,1765226062702,2,1,4,3.27,0,0,0,0
639,1765226064129,2,1,4,3.27,0,0,0,0
640,1765226064179,2,1,4,3.27,0,0,0,0
641,1765226065994,2,1,4,3.27,0,0,0,0
642,1765226067480,2,1,4,3.27,0,0,0,0
643,1765226067545,2,1,4,3.27,0,0,0,0
644,1765226067662,2,1,4,3.27,0,0,0,0
645,1765226067713,2,1,4,3.27,0,0,0,0
646,1765226069329,2,1,4,3.27,0,0,0,0
647,1765226069362,2,1,4,3.27,0,0,0,0
648,1765226069462,2,1,4,3.27,0,0,0,0
649,1765226069495,2,1,4,3.27,0,0,0,0
650,1765226071045,2,1,4,3.27,0,0,0,0
651,1765226071097,2,1,4,3.27,0,0,0,0
652,1765226071296,2,1,4,3.27,0,0,0,0
653,1765226072880,2,1,4,3.27,0,0,0,0
654,1765226074663,2,1,4,3.27,0,0,0,0
