index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
1054,1765218946458,0,0,0,0,0,0,0,0
1055,1765218946740,0,0,0,0,0,0,0,0
1056,1765218947057,0,0,0,0,0,0,0,0
1057,1765218947174,0,0,0,0,0,0,0,0
1058,1765218947440,0,0,0,0,0,0,0,0
1059,1765218947889,0,0,0,0,0,0,0,0
1060,1765218948189,0,0,0,0,0,0,0,0
1061,1765218948339,0,0,0,0,0,0,0,0
1062,1765218948607,0,0,0,0,0,0,0,0
1063,1765218949056,0,0,0,0,0,0,0,0
1064,1765218949340,0,0,0,0,0,0,0,0
1065,1765218949805,0,0,0,0,0,0,0,0
1066,1765218950072,0,0,0,0,0,0,0,0
1067,1765218950189,0,0,0,0,0,0,0,0
1068,1765218950504,0,0,0,0,0,0,0,0
1069,1765218950789,0,0,0,0,0,0,0,0
1070,1765218950905,0,0,0,0,0,0,0,0
1071,1765218951222,0,0,0,0,0,0,0,0
1072,1765218951656,0,0,0,0,0,0,0,0
1073,1765218951938,0,0,0,0,0,0,0,0
1074,1765218952356,0,0,0,0,0,0,0,0
1075,1765218952789,0,0,0,0,0,0,0,0
1076,1765218953106,0,0,0,0,0,0,0,0
1077,1765218953522,0,0,0,0,0,0,0,0
1078,1765218953840,0,0,0,0,0,0,0,0
1079,1765218953957,0,0,0,0,0,0,0,0
1080,1765218954256,0,0,0,0,0,0,0,0
1081,1765218954657,0,0,0,0,0,0,0,0
1082,1765218955007,0,0,0,0,0,0,0,0
1083,1765218955140,0,0,0,0,0,0,0,0
1084,1765218955424,0,0,0,0,0,0,0,0
1085,1765218955739,0,0,0,0,0,0,0,0
1086,1765218955890,0,0,0,0,0,0,0,0
1087,1765218956190,0,0,0,0,0,0,0,0
1088,1765218956714,0,0,0,0,0,0,0,0
1089,1765218956939,0,0,0,0,0,0,0,0
1090,1765218957073,0,0,0,0,0,0,0,0
1091,1765218957357,0,0,0,0,0,0,0,0
1092,1765218957740,0,0,0,0,0,0,0,0
1093,1765218958023,0,0,0,0,0,0,0,0
1094,1765218958307,0,0,0,0,0,0,0,0
1095,1765218958371,0,0,0,0,0,0,0,0
1096,1765218958655,0,0,0,0,0,0,0,0
1097,1765218958955,0,0,0,0,0,0,0,0
1098,1765218959005,0,0,0,0,0,0,0,0
1099,1765218959289,0,0,0,0,0,0,0,0
1100,1765218959574,0,0,0,0,0,0,0,0
1101,1765218959923,0,0,0,0,0,0,0,0
1102,1765218960223,0,0,0,0,0,0,0,0
1103,1765218960572,0,0,0,0,0,0,0,0
1104,1765218960855,0,0,0,0,0,0,0,0
1105,1765218961205,0,0,0,0,0,0,0,0
1106,1765218961856,0,0,0,0,0,0,0,0
1107,1765218962139,0,0,0,0,0,0,0,0
1108,1765218962489,0,0,0,0,0,0,0,0
1109,1765218962756,0,0,0,0,0,0,0,0
1110,1765218963041,0,0,0,0,0,0,0,0
1111,1765218963072,0,0,0,0,0,0,0,0
1112,1765218963355,0,0,0,0,0,0,0,0
1113,1765218963638,0,0,0,0,0,0,0,0
1114,1765218963956,0,0,0,0,0,0,0,0
