index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
761,1782590460789,0,0,82,0
762,1782590463138,0,0,139,0
763,1782590463403,0,0,139,0
764,1782590463987,0,0,139,0
765,1782590466018,0,0,186,0
766,1782590466318,0,0,186,0
767,1782590467500,0,0,224,0
768,1782590469232,0,0,255,0
769,1782590469598,0,0,255,0
770,1782590469981,0,0,255,0
771,1782590470282,0,0,255,0
772,1782590470397,0,0,255,0
773,1782590470664,0,0,280,0
774,1782590471097,0,0,280,0
775,1782590471414,0,0,280,0
776,1782590471680,0,0,280,0
777,1782590473795,0,0,300,0
778,1782590475127,0,0,317,0
779,1782590475760,0,0,317,0
780,1782590477408,0,0,331,0
781,1782590478407,0,0,331,0
782,1782590479340,0,0,344,0
783,1782590480106,0,0,344,0
784,1782590480256,0,0,344,0
785,1782590481338,0,0,355,0
786,1782590481954,0,0,355,0
787,1782590482404,0,0,355,0
788,1782590482504,0,0,355,0
789,1782590483536,0,0,364,0
790,1782590483953,0,0,364,0
791,1782590484586,0,0,364,0
792,1782590485734,0,0,372,0
793,1782590487983,0,0,379,0
794,1782590489265,0,0,385,0
795,1782590489665,0,0,385,0
796,1782590490214,0,0,385,0
797,1782590490830,0,0,391,0
798,1782590491863,0,0,391,0
799,1782590493478,0,0,395,0
800,1782590494194,0,0,395,0
801,1782590495077,0,0,399,0
802,1782590496209,0,0,399,0
803,1782590497858,0,0,402,0
804,1782590498890,0,0,404,0
805,1782590500439,0,0,404,0
806,1782590501354,0,0,406,0
807,1782590501688,0,0,406,0
808,1782590502337,0,0,406,0
809,1782590502987,0,0,408,0
810,1782590503403,0,0,408,0
811,1782590503969,0,0,408,0
812,1782590504902,0,0,410,0
813,1782590506001,0,0,410,0
814,1782590507166,0,0,412,0
815,1782590508299,0,0,412,0
816,1782590509880,0,0,414,0
817,1782590511114,0,0,416,0
818,1782590512412,0,0,416,0
819,1782590513045,0,0,416,0
820,1782590514078,0,0,416,0
821,1782590516076,0,0,416,0
822,1782590517125,0,0,416,0
823,1782590517808,0,0,416,0
824,1782590518507,0,0,416,0
825,1782590519456,0,0,416,0
826,1782590520762,0,0,416,0
827,1782590520838,0,0,416,0
828,1782590521121,0,0,416,0
829,1782590521804,0,0,416,0
830,1782590522370,0,0,416,0
831,1782590523436,0,0,416,0
832,1782590524052,0,0,416,0
833,1782590524752,0,0,416,0
834,1782590525484,0,0,416,0
835,1782590526217,0,0,416,0
836,1782590527500,0,0,416,0
837,1782590529947,0,0,416,0
838,1782590530546,0,0,416,0
839,1782590531729,0,0,416,0
840,1782590532595,0,0,416,0
841,1782590533728,0,0,416,0
842,1782590534876,0,0,416,0
843,1782590536425,0,0,416,0
844,1782590537491,0,0,416,0
